,0,1,2,3,4,5,6,7,8
0,119999999999.99991,1904296874.9999986,173144337.75339097,29506683.349609353,7718912.0,2622424.8082101317,1059360.0715792263,469364.22586441005,229564.52362538825
1,130999999999.99991,1896484374.9999986,169537164.05019534,29617309.570312478,7941120.0,2656261.9074836164,1060574.3372581282,471033.155918121,230506.65242436356
2,107999999999.99991,1904296874.9999986,171721790.37748286,30403137.207031228,7962624.0,2615974.9212518428,1052867.467336934,468820.3334808346,231283.58603666924
3,106999999999.99991,1955078124.9999986,168521058.78168952,29262542.724609353,7777280.0,2620737.9146979637,1034851.7296111837,466607.51104354823,231438.456524172
4,127999999999.99991,1849609374.9999986,170299243.0015747,30429840.087890603,7876608.0,2587893.1057257545,1033364.8736778344,461369.7528839108,232150.86076668487
5,129999999999.99991,1853515624.9999986,174211248.28532213,29964447.021484353,8067072.0,2666085.5814662413,1054478.2279313959,464394.68860626186,231304.23543500295
6,132999999999.99991,1783203124.9999986,171925011.43118402,30467987.060546853,7829504.0,2605655.1021185806,1042806.4088546028,469155.6096076962,232994.90492357506
7,124999999999.99991,1749999999.9999986,166234821.92755145,29716491.699218728,7910912.0,2642469.072295891,1045953.5872468592,468909.7404479977,229432.8837110109
8,123999999999.99991,1853515624.9999986,172382258.80201164,30273437.499999978,7651840.0,2611013.469745467,1028036.973249999,470913.9466285702,233028.46019586734
9,129999999999.99991,1769531249.9999986,167098511.4057814,29953002.929687478,7983104.0,2632446.9402530114,1042781.6279223806,466987.49065399135,231219.05666687642
