,naive_mse,post_mse,mme_triangle_err,post_triangle_err
0,45.08510522595029,7.666085272099019,7102.000000000029,7102.000000042943
1,49.38428805237315,8.318126116670019,2397.999999999971,2398.0000000006403
2,50.276139846483495,8.22650120871397,4772.999999999971,4773.000000046915
3,48.1066608619939,8.097263537130782,22.999999999970896,23.00000004458707
4,47.25116190059598,8.105346963003793,1477.000000000029,1476.9999999690772
5,46.97026813234773,8.406198941460607,602.0000000000291,601.999999992011
6,47.306787652831844,8.100029830358043,5102.000000000029,5101.999999964712
7,44.68541112603844,8.097194862236817,8852.00000000003,8852.000000085725
8,47.14415923129719,8.230569639199738,3477.000000000029,3477.000000055821
9,46.0457769532955,8.11519534622196,5852.000000000029,5852.000000091401
10,46.724599661146634,7.961299217662569,602.0000000000291,602.0000000719301
11,47.1020057775113,8.297937743287212,3227.000000000029,3227.0000000486034
12,48.40280599637582,8.184893819109236,727.0000000000291,726.9999999733118
13,48.61753522090002,8.074811040995819,727.0000000000291,726.9999999384163
14,48.775076814313294,8.111608329789796,3022.999999999971,3023.0000000573636
15,48.196792204948544,8.2478708846517,772.9999999999709,772.999999992142
16,51.068238044748924,8.131098030601876,4522.999999999971,4522.999999950334
17,46.39246987951807,8.179550912998623,5227.000000000029,5226.9999999367865
18,45.93792014805541,8.597419761171079,7102.000000000029,7101.9999999276915
19,47.5768947956099,8.209179999898431,147.9999999999709,147.99999996069528
20,47.93053041522681,8.341770198548907,2602.000000000029,2602.0000000251166
21,47.3115675203884,8.276926538898415,2977.000000000029,2976.999999970838
22,47.347237417943106,8.085150790760698,4352.000000000029,4352.000000024738
23,47.324447705225396,8.18665682956302,1852.000000000029,1852.0000000161526
24,47.169163715608825,8.261356163046417,4352.000000000029,4352.000000047672
25,48.5599715528324,8.179276693722537,1022.9999999999709,1023.0000000079308
26,47.497477487251814,8.319257728819572,3102.000000000029,3102.000000032087
27,47.831988261188556,8.022482462682955,1147.999999999971,1147.9999999676802
28,47.25897569112138,8.089564495940499,1727.000000000029,1726.9999999693682
29,50.422993727017094,8.101602348557162,6272.999999999971,6273.0000000011205
30,48.56926383372327,8.245984024912042,1522.999999999971,1522.999999986816
31,46.64996022275258,8.180015506512424,6227.000000000029,6227.000000010841
32,49.30438819256711,7.789343553096814,2102.000000000029,2102.0000000433793
33,49.18488702106757,8.32041025287348,1647.999999999971,1647.9999999698339
34,49.820460538835874,8.257562241141668,2897.999999999971,2898.000000039421
35,45.867566244082916,8.278496204663778,5227.000000000029,5226.999999964828
36,47.852659632328944,8.190197609075181,3397.999999999971,3397.999999951062
37,45.95700450143227,8.236856211298882,4477.000000000029,4477.0000000814325
38,45.715272469149276,7.967816012368821,6102.000000000029,6102.000000063927
39,50.64536610622122,8.348500137051692,6647.999999999971,6647.999999970081
40,49.06907292548976,8.415013386156268,1522.999999999971,1523.0000001249573
41,47.736860785759134,8.489861028657042,2022.999999999971,2023.0000000254659
42,45.92629884304736,8.11785208529993,3477.000000000029,3476.9999999788415
43,47.475973476682945,8.166642484903624,977.0000000000291,976.999999982072
44,45.60437816390751,8.080297559704713,3977.000000000029,3976.999999926018
45,52.09944812058976,8.339755544239308,6272.999999999971,6273.000000064159
46,48.54147321549782,8.184304644972302,2147.999999999971,2148.0000000625732
47,48.30004088864658,8.25222065141849,1602.000000000029,1602.0000000193977
48,47.17604365620736,8.414084192303315,727.0000000000291,727.0000001007138
49,49.555446328609264,8.179549570915153,4897.999999999971,4898.00000008574
