,naive_mse,post_mse
0,27.61911911911912,21.51621089319211
1,29.864228456913825,26.603342217257364
2,29.8655,19.375868646474366
3,26.18587174348697,18.989156553554253
4,27.683,23.15443218992408
5,29.375500000000002,19.12811934555733
6,29.473,23.43990929420655
7,32.9505,19.91138927379767
8,30.52252252252252,21.825746630093686
9,30.895500000000002,21.322567662956253
10,31.7655,20.174144660223885
11,31.250500000000002,16.769976543244688
12,31.0105,21.423863260029744
13,30.61761761761762,15.82327561695248
14,29.305805805805807,26.322348315194702
15,29.770500000000002,25.762027451245856
16,31.81831831831832,21.454821944536995
17,31.783,16.786821466257262
18,29.628,18.418098196857375
19,30.558,31.51861133251413
20,28.298000000000002,21.330239380083405
21,30.048000000000002,16.826946860932782
22,29.14864864864865,23.660286793377864
23,27.923000000000002,19.270426240459557
24,28.4505,20.3356118378533
25,31.2905,19.1495915061698
26,32.888,18.559740534045083
27,30.60760760760761,21.856223765633214
28,25.932932932932932,18.719113411259272
29,30.638,19.12609153901802
30,28.80780780780781,19.932926763300785
31,31.363,17.041229872373417
32,29.9605,18.400318376652944
33,29.025551102204407,28.91603326358616
34,28.67384769539078,21.688091994084346
35,29.183,30.422702502112752
36,29.416416416416418,19.525782673431003
37,31.646146146146148,18.01470408247501
38,29.223223223223222,19.02172823094966
39,31.45235707121364,19.59277126498928
40,26.17167167167167,50.59550773621646
41,30.766266266266268,31.99563074822635
42,29.753,22.233756371613943
43,28.5105,22.92460363429686
44,29.563000000000002,16.053343994356556
45,27.840500000000002,18.422840655007818
46,29.7255,16.91092558367226
47,30.763,14.361652872609957
48,30.56006006006006,17.339901415574328
49,33.045500000000004,16.191822797236995
