,naive_mse,post_mse
0,29.925777331995988,21.010073391563697
1,28.050651955867604,21.850460629731714
2,30.866733466933866,21.79224315326566
3,33.052156469408224,24.2956906561866
4,32.5346038114343,21.101423637904826
5,27.8515,21.05899868061018
6,27.719879518072286,19.468621413092244
7,28.304609218436873,20.381335714922994
8,26.763289869608826,20.48337435728612
9,32.255010020040075,24.478135714939608
10,28.755265797392177,22.302267929244522
11,29.68268268268268,22.062758718436413
12,29.62575150300601,21.175496089076507
13,30.259296482412065,20.42072082997639
14,29.389558232931723,20.833951941037057
15,30.12912912912913,20.864678124153116
16,28.13963963963964,20.72810104058338
17,29.03053053053053,20.58671167089973
18,27.68068068068068,20.541337170075476
19,30.096596596596598,22.54466588180937
20,31.80220883534136,22.979176596094906
21,26.95235707121364,18.7654508907884
22,31.586934673366837,24.8427609302558
23,27.206619859578737,19.19238124965109
24,28.97344689378757,20.377044143974363
25,29.513026052104205,22.95757912078758
26,29.25725725725726,21.35369853199576
27,29.749999999999996,21.669450427152434
28,27.505505505505504,20.387892721466315
29,31.70591182364729,21.54584759768747
30,26.16166166166166,18.760503305059384
31,27.9063126252505,21.878030376386725
32,27.034,19.804144087923085
33,28.81513026052104,19.277894585814987
34,32.367867867867865,26.041769798719773
35,32.431431431431434,22.72128249287145
36,29.143143143143142,20.147967082927313
37,29.569138276553105,21.937546050042343
38,26.5565,18.574436656148333
39,27.962387161484454,19.19245492546564
40,29.73470411233701,21.343225353235518
41,29.82782782782783,23.11304950367917
42,30.99949899799599,23.96055493855118
43,27.4874749498998,20.04639961735485
44,30.590772316950854,24.219015098728676
45,28.99348044132397,20.566088242942747
46,30.88326653306613,21.833785352314415
47,30.3165,21.44503505235967
48,33.54504504504504,25.939021838753977
49,29.23823823823824,21.611936778865495
