,naive_mse,post_mse
0,5.869,377.0836123040836
1,5.634,379.20978803738416
2,4.99775,383.9744243054497
3,5.047125,384.59875168124387
4,4.594,382.14636401365783
5,5.449625,391.58042418717906
6,4.802125,390.869179820009
7,5.049625,392.46927754119224
8,5.07275,392.2332611112193
9,4.57025,383.75183035813467
10,5.267125,389.88393958597607
11,4.669625,387.91907007169465
12,5.139625,382.0580692000264
13,5.065875,381.2506372099524
14,5.7965,377.8380071698592
15,4.782125,395.1504002948692
16,5.0265,388.9653235446086
17,4.9102500000000004,381.9095639037563
18,5.33525,388.4208063610005
19,5.219,379.56281363143876
20,4.817125,383.95031757525453
21,5.819,378.00913557967385
22,5.6365,390.1325367963293
23,4.84025,381.05876553224806
24,5.219,391.0419720504919
25,5.019,386.1266926374963
26,5.484,392.5098481100633
27,4.987125,386.33345847858686
28,5.08525,390.6115239764881
29,5.107125,387.1798522130898
30,5.019,386.27980830491657
31,5.084625,386.62268406670273
32,4.810875,388.5630492698502
33,5.183375,379.1450259388575
34,5.32275,383.6712324558997
35,4.597125,394.9101404876782
36,4.95525,382.56843509511793
37,5.594,382.3531668689243
38,4.9465,386.8215637588207
39,4.69775,391.25612315249253
40,5.117125,385.97500866635767
41,4.655875,386.13266426162187
42,4.702125,380.2065113513447
43,4.744,381.8962935887846
44,4.97025,388.863756058846
45,4.8915,388.8255216442769
46,5.025875,386.69363794837125
47,4.834625,378.10642917845234
48,5.024625,376.14121169351716
49,4.825875,385.9034739675959
