,naive_mse,post_mse,mme_triangle_err,post_triangle_err
0,18700.74843423799,19.05623496439197,23.99999999999818,216.00754525537832
1,20028.503861003857,22.036312645100505,1023.9999999999982,717.3003360028333
2,3031.227087576373,11.934979725090846,4976.0,4968.278602398916
3,2954.449596774192,9.497184297379716,4976.0,4978.298419658586
4,20596.884254431698,19.94598566956505,23.99999999999818,211.83706755499134
5,21723.261280167888,21.68314744498665,1023.9999999999982,1283.8527994892656
6,11875.653923541247,11.131629961592425,1976.000000000001,1993.5640435742498
7,18788.581162324645,15.839046093802839,976.0000000000009,1015.999675541726
8,22731.001002004003,25.13737481578175,1023.9999999999982,967.0929692932805
9,14584.766272189348,16.836752003621175,976.0000000000009,1093.6338476226592
10,25752.770623742454,28.179758072426807,2023.9999999999982,1991.0916977460993
11,11750.016848364716,9.685207722861376,1976.000000000001,2051.4586595818987
12,23782.64486921529,27.475757834810107,2023.9999999999982,1986.9584627709446
13,15368.359456635319,13.175001895780683,976.0000000000009,810.2483694505108
14,9143.694444444443,14.457872139734933,2976.000000000001,2923.073046810558
15,21150.486788617884,24.593115056332497,1023.9999999999982,1059.7664691352984
16,24538.16030534351,21.418541127629943,1023.9999999999982,1563.2931846841166
17,28575.204819277104,33.290853382264046,3023.999999999998,2970.4505855864136
18,23057.483965014573,26.47099144813755,2023.9999999999982,1724.8583914144465
19,18152.669379450657,18.604271840943646,23.99999999999818,62.78633608102518
20,21346.361848574237,19.952220330704726,23.99999999999818,134.13995561497268
21,12427.332271762205,10.111935320962317,1976.000000000001,1778.837074555484
22,17081.646493756,13.851014829892305,23.99999999999818,266.89437773138616
23,15408.440290758046,13.507934625072412,976.0000000000009,841.6279622247584
24,20024.240115718414,22.14046794847316,1023.9999999999982,711.0420117159556
25,15478.7157784744,17.122668441696774,976.0000000000009,810.2483694505108
26,22208.20384204909,28.101716233928833,1023.9999999999982,1404.0359722305366
27,34924.697183098586,61.91484367005485,5023.999999999998,4979.3707298168465
28,20124.725971370142,18.570958606555855,23.99999999999818,94.87807977323337
29,23310.915289256194,21.86913535180542,1023.9999999999982,1175.3738377611917
30,27699.95955510616,28.768691515486665,2023.9999999999982,2030.031883225638
31,27655.838048780482,26.13959123328885,3023.999999999998,2723.2325936835714
32,15956.890455531451,15.052451038064017,976.0000000000009,619.2311879439394
33,12222.576165803106,13.801473235388059,1976.000000000001,1876.616822700319
34,20155.018518518515,18.816263451031663,23.99999999999818,131.32885676481874
35,12295.48598130841,12.594521176289865,1976.000000000001,1868.296351702672
36,22725.06927710843,23.29130477536412,1023.9999999999982,980.5995300467148
37,17758.746506986023,16.850577670682405,23.99999999999818,48.651086022812706
38,14846.092445328028,18.768019286103986,976.0000000000009,1055.7628865404413
39,25675.477567298098,29.69242001565655,2023.9999999999982,1921.9481825189287
40,17713.332129963896,14.920707451143661,23.99999999999818,600.9334514866541
41,18617.177267987485,19.98357153115709,23.99999999999818,209.72858928642108
42,20103.259295499018,18.647208197226497,1023.9999999999982,806.1686279339001
43,11610.407407407405,14.299997721320608,1976.000000000001,2115.0575652331463
44,9118.584349593495,15.022207593248886,2976.000000000001,2959.5605858900913
45,21315.75436793422,21.61566034355869,1023.9999999999982,1136.7624859868656
46,6102.154713114753,9.071877060804535,3976.0000000000005,3948.8055801312867
47,27528.203444564042,34.59110660579921,2023.9999999999982,2528.9609808350106
48,9329.676130389062,13.442467623246895,2976.000000000001,2857.037574972031
49,18590.02956705385,16.06797234495279,23.99999999999818,285.9320684641898
