,naive_mse,post_mse
0,177.61269430051814,267.7582274274239
1,165.98383084577114,191.68615240252214
2,150.1896333754741,163.67380115116495
3,180.955223880597,208.3614554580441
4,161.9922480620155,169.53149055870537
5,159.1348600508906,217.55456454898558
6,158.219696969697,168.21589961156755
7,172.19410319410318,167.64478268827986
8,168.24324324324323,185.69959134469934
9,193.673417721519,207.7915153817683
10,175.83915211970074,316.30690202590336
11,175.0175879396985,153.93654682452274
12,175.94029850746267,195.1859647894139
13,169.99,429.0395081881969
14,178.91002570694087,172.31979792199903
15,163.27296248382925,386.74575307295004
16,157.79373368146213,196.68729415696907
17,176.79622641509434,222.18458286218743
18,177.76903870162297,171.74567903514105
19,161.17834394904457,167.5317044129939
20,170.4443084455324,229.3161261528897
21,174.97943444730075,202.88302283201276
22,211.53113553113553,171.3198270190317
23,161.49870801033592,230.2806314732384
24,187.1965389369592,187.86777047095745
25,158.99609375,210.61278432207214
26,163.67396907216494,266.4050000524716
27,177.78682170542638,151.245782178393
28,163.90330788804073,170.16713860830467
29,182.48010269576378,231.66827606323056
30,175.63246753246753,353.32656963093814
31,202.58312655086849,231.52965697011547
32,185.85365853658536,296.0715351473227
33,165.16582278481013,183.003981944482
34,169.90140845070422,198.11358566374375
35,186.36422136422135,220.57320769180623
36,162.640605296343,253.52036741978574
37,167.1525,188.14595811132557
38,187.35081148564294,190.58589571805618
39,158.3753086419753,228.31973439009295
40,194.0048076923077,202.63281042282173
41,174.01787994891444,142.19999229884291
42,169.1753086419753,262.83137153439657
43,162.91298865069356,143.55918986100278
44,168.36295369211516,178.85504574804122
45,163.17232704402514,193.25483708611895
46,176.32616940581545,267.9162181066665
47,167.57362355953904,241.8593368851776
48,141.89171974522293,192.83320062407077
49,150.15501905972047,185.74340175117774
