,naive_mse,post_mse
0,76.7960251046025,493.73979485742933
1,73.57411273486429,519.3882431467076
2,70.98527865404837,532.1445579300935
3,73.0735294117647,504.8437672038583
4,83.60084477296726,486.38639671586486
5,83.20399579390116,518.8424595187265
6,75.73125,546.4099581415061
7,75.28991596638654,497.41647971126093
8,79.59496327387198,563.528504147919
9,68.707805907173,497.94661768817105
10,71.86568730325288,486.89914544055256
11,71.6902286902287,521.5273696999362
12,73.12166488794024,518.9632891632971
13,71.48046462513199,483.57767329600034
14,77.39895287958116,508.31787370520846
15,77.40717299578058,488.1743830710766
16,84.8970893970894,543.9704159795077
17,73.80696202531645,515.9097204146666
18,79.63825363825364,498.9670636856192
19,68.89192025183631,492.8598980110777
20,71.14329896907216,518.5900404898612
21,74.86772486772487,510.9814248272084
22,77.73052631578948,546.4036028161737
23,73.21212121212122,505.89189405045926
24,71.98731501057082,498.91036322646414
25,82.53249475890986,510.39659849243503
26,74.50421052631579,496.53059533699115
27,75.54507337526206,551.2855749840477
28,73.74789029535864,472.5329513385256
29,74.30398322851154,510.2229808398712
30,74.6621052631579,501.9588695922702
31,80.16914893617022,517.0481063095891
32,82.20715036803365,556.932552419302
33,77.21030494216613,501.5336659274268
34,68.55755015839493,465.1517418668268
35,71.40083945435467,493.0593132545793
36,72.40740740740742,517.5748359680712
37,69.96398305084746,507.08631140142745
38,72.32275132275133,509.91721643761923
39,67.3389296956978,515.2491452642342
40,87.48907388137357,510.5378803650924
41,72.55402542372882,520.271831839541
42,72.72851153039832,501.03774362151853
43,79.17103882476391,526.3857204184744
44,76.06673618352451,512.809155484262
45,72.29830148619958,529.1357465434053
46,74.0041841004184,514.7933847037272
47,74.055381400209,527.8791538067031
48,77.88278775079196,494.56174393664077
49,79.65368421052631,557.0094820105164
